テスト内容	テストタイプ	実装ステータス
有効なノートIDでPDFファイルをエクスポートできる	正常系	未実装
エクスポートされたPDFに正しい内容が含まれる	正常系	未実装
PDFにタイトルが含まれる	正常系	未実装
PDFに作成日時・更新日時が含まれる	正常系	未実装
PDFにMarkdownがレンダリングされた状態で含まれる	正常系	未実装
画像を含むノートをエクスポートし、PDFに画像が埋め込まれる	正常系	未実装
ファイル名がノートのタイトルから生成される	正常系	未実装
タイトルがない場合、ファイル名が作成日時から生成される	正常系	未実装
ユーザーにファイル保存先を選択させる	正常系	未実装
エクスポート後にファイルが保存される	正常系	未実装
存在しないノートIDでApplicationErrorが返される	異常系	未実装
無効なノートID形式でバリデーションエラーが返される	異常系	未実装
エクスポートに失敗した場合、ExternalServiceErrorが返される	異常系	未実装
ファイル保存に失敗した場合、ExternalServiceErrorが返される	異常系	未実装
DB取得に失敗した場合、RepositoryErrorが返される	異常系	未実装
